,Titulo,Autor,Referencia,Texto,link
292,Sufren cristianos del Medio Oriente,Mustafa Akyol,EL MUNDO. INTELIGENCIA,"ESTANBUL Cuando el Papa Francisco visitó Egipto a finales de abril, hizo un llamado a los líderes musulmanes a ""desenmascarar la violencia que se disfraza de presunta santidad"". Fue oportuno: apenas unas semanas antes, el Domingo de Ramos, la comunidad cristiana copta de Egipto fue agredida por atacantes suicidas reclutados por el así llamado Estado Islámico. Ese episodio fue sólo uno de muchos ejemplos de violencia y acoso que los cristianos de Medio Oriente han enfrentado últimamente. El más reciente ocurrió el 26 de mayo, cuando unos pistoleros atacaron a un convoy de coptos en el Alto Egipto, dejando a por lo menos 26 personas muertas.La persecución es tan severa que algunos temen que ocasione el fin del cristianismo en la región donde nació hace dos milenios. ¿Por qué está sucediendo esto? Y ¿qué se puede hacer?Algunos están dispuestos a ver el problema como ""la Guerra del Islam contra el Cristianismo"". Para ellos, una fe militante trata de erradicar a su rival pacífico, y la mejor respuesta es contraatacar.La realidad es mucho más compleja. Mientras tales atrocidades provienen de grupos extremos como el Estado Islámico, la mayoría de los demás musulmanes las condenan. Algunos musulmanes incluso tratan de defender a los cristianos, como las oficiales de Policía que murieron durante los ataques del Domingo de Ramos, y los hombres y las mujeres que se lanzaron a las mezquitas para donar sangre para los lesionados. Claramente, lo que amenaza a los cristianos no es el islam, sino una corriente extremista dentro de él.Además, este extremismo encierra algo desconcertante: el islam ha sido la religión dominante en el Medio Oriente durante los últimos 14 siglos, pero este nivel de fanatismo es nuevo. Las minorías cristianas que ahora son atacadas por el Estado Islámico y otros de su calaña, existieron bajo Estados islámicos más razonables durante muchos siglos. La presencia misma de grandes comunidades de cristianos en el Medio Oriente es testimonio del hecho de que los musulmanes tradicionalmente los toleraban.Los problemas de los cristianos de la región comenzaron en la era moderna. Primero, en la mortal deportación de 1915, el Gobierno otomano eliminó a una gran porción de su población armenia, que había vivido y florecido durante cuatro siglos. A lo largo de los siguientes 100 años, diversas olas de deportaciones, masacres, persecuciones y discriminación redujeron dramáticamente el número de cristianos en el Medio Oriente: del 14 por ciento de la población de la región en 1910 al 4 por ciento en el 2010.Una parte de esta crisis moderna era política: la caída del Imperio Otomano pluralista dio origen a nacionalistas furiosos y Estados-naciones paranoicos que percibían a las minorías como sospechosas, si no enemigos internos. Los cristianos, algunos de ellos pensadores destacados en el desarrollo del nacionalismo árabe laico, con frecuencia se encontraron etiquetados como la quinta columna de las potencias coloniales occidentales.Sin embargo, una parte de la crisis moderna también era religiosa -y tuvo sus raíces en la tolerancia misma del Islam clásico.Esta tolerancia se había basado no en la igualdad, sino en la jerarquía. Los musulmanes eran los gobernantes superiores, mientras que los no musulmanes eran comunidades protegidas, pero inferiores, llamadas ""dhimmíes"". Los ""dhimmíes"" tenían que pagar un impuesto per cápita adicional, sus templos no podían ser demasiado ruidosos y los nuevos rara vez se permitían, y eran sujetos a diversas limitaciones sociales. Y aunque se alentaba su conversión al Islam, la conversión del Islam a la fe de los dhimmíes podía ser un delito capital.En la era moderna, la igualdad ante la ley se convirtió en la norma universal, y es lo que las minorías religiosas empezaron con razón a exigir. (Es notable que el Imperio Otomano, la sede del califato, respondió a estos llamados con el Edicto de Reformas de 1856, declarando que los cristianos y los judíos eran ciudadanos iguales del imperio).Pero hasta la fecha, la mayoría de los islamistas -los que ven el islam como un sistema político- aún cree que los no musulmanes deben seguir siendo dhimmíes. Creen que los cristianos deberían ""saber cuál es su lugar"" como ciudadanos de segunda clase y si no lo hacen, deberían pagar un precio. Esta actitud supremacista musulmana, compartida en ocasiones incluso por gobiernos laicos, pero autocráticos en el Medio Oriente, está detrás de muchos actos de persecución.Por el lado más positivo, hay buenas iniciativas islámicas hacia establecer una cultura de igualdad, como la Declaración de Marrakech del 2016, que fue firmada por cientos de eruditos musulmanes de más de 100 países y que hizo un llamado a una nueva jurisprudencia basada en la ""ciudadanía"". Pero necesita hacerse mucho más. Los líderes musulmanes también deberían ayudar a sus sociedades a entender que las minorías no son extranjeros, mucho menos espías, sino ciudadanos auténticos y patrióticos de sus países de origen.Los habitantes preocupados de Occidente deben entender que el problema requiere no una batalla contra el islam, sino una lucha por la libertad religiosa. Como lo expresó una reciente iniciativa académica, Bajo la Espada de César: La Respuesta Cristiana a la Persecución, la persecución religiosa es un problema global. La libertad religiosa es un derecho fundamental que todos merecen y, por ende, debe ser defendida para todos.  Mustafa Akyol es autor de ""The Islamic Jesus: How the King of the Jews Became a Prophet of the Muslims"".Envíe sus comentarios a: intelligence@nytimes.com.     ",https://www.reforma.com/libre/online07/aplicacionEI/webview/iWebView.aspx?Coleccion=1066&folio=1879878&TipoTrans=8
293,¿Crear bebés de células de la piel?,Tamar Lewin,PORTADA. Plantean nuevas posibilidades para la paternidad,"Casi 40 años después de que el mundo fue cimbrado por el nacimiento del primer bebé de probeta, se vislumbra una nueva revolución en la tecnología reproductiva -y promete ser mucho más polémica de lo que jamás lo fue la fertilización in vitro.En cuestión de una o dos décadas, afirman los investigadores, los científicos probablemente serán capaces de crear un bebé a partir de células de piel humana que han sido persuadidas a crecer y convertirse en óvulos y esperma y utilizadas para crear embriones a ser implantados en el útero. Hasta la fecha, el proceso, gametogénesis in vitro, o GIV, sólo ha sido utilizado en ratones. Pero los biólogos de células madre señalan que es sólo cuestión de tiempo antes de que pueda ser aplicado en la reproducción humana -abriendo posibilidades alucinantes.Con GIV, dos varones podrían tener un bebé que esté biológicamente emparentado con ambos, al utilizar células de la piel de uno para crear un óvulo que sería fertilizado por el esperma del otro. Mujeres con problemas de fertilidad podrían tener óvulos hechos a partir de las células de su piel, en vez de pasar por el proceso largo y costoso de estimular sus ovarios para extraer óvulos.""Me inquieta porque no sabemos a dónde podría llevar esto"", dijo Paul Knoepfler, investigador de células madre en la Universidad de California, en Davis. ""Puedes imaginar a un varón proporcionando tanto los óvulos como el esperma, casi como si se clonara a sí mismo. Puedes imaginar que al volverse los óvulos tan fácilmente disponibles resultaría en bebés de diseñador"".Algunos científicos incluso hablan de lo que llaman el ""escenario de Brad Pitt"", cuando alguien recupera células de piel de una celebridad de una cama de hotel.Tres académicos prominentes en Derecho y Medicina sonaron una alarma respecto a las posibles consecuencias en un estudio publicado este año. ""GIV podría plantear la idea del 'cultivo de embriones' a una escala actualmente inimaginable, lo que podría exacerbar las preocupaciones sobre la devaluación de la vida humana"", escribieron Eli Y. Adashi, catedrático de ciencias médicas en la Universidad Brown, en Providence, Rhode Island; I. Glenn Cohen, profesor de la Facultad de Derecho de Harvard; y George Q. Daley, director de la Facultad de Medicina de Harvard, en la revista Science Translational Medicine.No obstante, está abierto a debate qué tan pronto podría el GIV convertirse en una realidad en la reproducción humana. ""No me sorprendería si fuera en cinco años, y no me sorprendería si fuera en 25 años"", comentó Jeanne Loring, investigadora en el Instituto de Investigación Scripps, en San Diego, California, quien espera usar GIV para incrementar la población del rinoceronte blanco del norte.GIV no es la primera tecnología reproductiva en desafiar el paradigma de la concepción de bebés. Cuando iniciaba la fertilización in vitro, mucha gente estaba horrorizada por la idea de crear bebés afuera del cuerpo humano. Sin embargo, la FIV y procedimientos relacionados hoy representan casi el 2 por ciento de los bebés nacidos en Estados Unidos cada año. Se estima que, a nivel mundial, más de 6.5 millones de bebés han nacido a través de tales tecnologías.GIV requiere capas de bioingeniería complicada. Los científicos primero deben tomar células de piel adultas -otras células funcionarían, pero las células de la piel son las más fáciles de obtener- y reprogramarlas para que se conviertan en células madre embrionarias capaces de crecer para convertirse en distintos tipos de células. Entonces, el mismo tipo de factores señalizadores que ocurren en la naturaleza son usados para guiar a esas células madre para que se conviertan en óvulos o esperma.El año pasado, investigadores en Japón, encabezados por Katsuhiko Hayashi, utilizaron GIV para crear óvulos viables a partir de células de piel de ratas hembras adultas, y produjeron embriones que fueron implantados en ratas hembras, que más tarde dieron a luz a crías sanas.""A mucha gente le parece instintivamente repugnante tener tres padres, o hacer un bebé sin partir de un óvulo y un esperma"", dijo Arthur Caplan, bioeticista en la Universidad de Nueva York. ""Pero por otro lado, la gente solía pensar que las transfusiones de sangre o colocar válvulas de cerdo en corazones humanos era repugnante"".Independientemente de las normas sociales, hay interrogantes sobre la sabiduría de manipular procesos biológicos básicos. Y existe un acuerdo general de que la tecnología reproductiva está avanzando más rápido que la consideración de las cuestiones legales y éticas que plantea.""Nos hemos dado cuenta de que los desarrollos científicos están rebasando nuestra capacidad para analizarlos bien"", expresó Adashi. ""Es un reto para el que no estamos del todo preparados"".    ",https://www.reforma.com/libre/online07/aplicacionEI/webview/iWebView.aspx?Coleccion=1066&folio=1879879&TipoTrans=8
294,Cuando la decisión recae en los algoritmos,Neelum Khan,PORTADA. VENTANA,"La era actual de la automatización funciona con base en algoritmos, comandos paso a paso que le dicen a una computadora cómo procesar datos. Igual que una receta, un algoritmo puede ser breve y placentero, o largo y complejo. Son buenos sólo en la medida en que lo sean sus programadores, que pueden involuntariamente integrar sesgos.Y tal como puede confirmar cualquier víctima de la función de autocorrección en los mensajes electrónicos, los algoritmos pueden dejar atrás el criterio humano.Muchos creadores de You- Tube estarían de acuerdo. En marzo, el gigante de los videos compartidos realizó ajustes repentinos a sus algoritmos de colocación de publicidad, reportó The New York Times. Abruptamente se eliminaron anuncios de temas que podrían ofender a los anunciantes, y los ingresos cayeron drásticamente en algunos de los canales más populares de YouTube.Algunos creadores le llamaron el ""adpocalypse"" (apocalipsis publicitario), al tiempo que se volvió aparente que el nuevo contenido tendría que ""alejarse de cualquier cosa 'potencialmente objetable' -no para la gente de carne y hueso, que de hecho podría sentirse ofendida, sino para los robots"", de acuerdo con The Times.El problema era que el algoritmo de YouTube no podía distinguir contexto de forma confiable, y no podía diferenciar entre humor y discurso del odio.Mats Jarlstrom vio un lado problemático de los algoritmos después de que su esposa recibió una multa en el correo por pasarse un semáforo en rojo en Oregon. Jarlstrom analizó más detenidamente el asunto y concluyó que la fórmula estaba equivocada -la duración de la luz amarilla del semáforo era demasiado breve para que los autos pudieran desacelerar al atravesar la intersección, reportó The Times.Pero los esfuerzos de Jarlstrom le ganaron una multa de 500 dólares de un consejo estatal de ingeniería ""por practicar ingeniería sin licencia"", a pesar de sus años de investigación sobre coordinación de semáforos y un título en ingeniería electrónica.Hubo mucho más en juego para Eric L. Loomis, un hombre en Wisconsin que fue sentenciado a seis años en prisión debido, en parte, a un reporte producido por un algoritmo secreto. Fue generado por un producto llamado Compas, que es un ""software de apoyo para decisiones automatizadas"" que intenta evaluar el riesgo que representa un acusado para la comunidad, reportó The Times. Compas, comercializado por Northpointe Incorporated, emitió un reporte que decía que Loomis, cuyo delito fue huir de la policía en automóvil, presentaba un riesgo mayor de cometer más crímenes.Loomis presentó un recurso de apelación, donde argumentó que no podía examinar ni cuestionar los hallazgos porque Northpointe considera que sus fórmulas son un ""secreto industrial"".De acuerdo con un reporte del Centro de Información sobre Privacidad Electrónica, Compas es ""usado para fijar fianzas, determinar sentencias, e incluso contribuir a resoluciones sobre culpabilidad o inocencia. No obstante, el funcionamiento interno de estas herramientas está en gran parte oculto de la vista del público"".Al final, el algoritmo de Compas ayudó a decidir el destino de Loomis.Su apelación fue rechazada y, de acuerdo con The Times, el juez le dijo, ""ha sido identificado, a través de la evaluación de Compas, como un individuo que representa un alto riesgo para la comunidad"".  Comentarios son bienvenidos en nytweekly@nytimes.com    ",https://www.reforma.com/libre/online07/aplicacionEI/webview/iWebView.aspx?Coleccion=1066&folio=1879880&TipoTrans=8
295,Maestro del color,Lupita Aguilar,El reconocido maquillista Vicente Montoya habla sobre su pasión por el 'make up' y ofrece sus consejos,"Un accesorio a la cabeza le delata: es un sombrero de lona de corte marinero que se suma a decenas de tatuajes, entre ellos sirenas, que adornan sus brazos con múltiples tonalidades.Es el renombrado maquillista internacional, fotógrafo y artista visual Vicente Montoya, para quien el color representa mucho más que un pigmento utilizado para atraer miradas.""Si hay un tema en el mundo que es incluyente, es el color, ¡es de todos!"", afirma el creativo, quien ha embellecido el rostro de estrellas como Salma Hayek, Dominika Paleta y Bárbara Mori, así como de modelos como Elsa Benítez y Daniela de Jesús Cosío.""Cada tono es fuente de inspiración, un recuerdo feliz, un momento de sofisticación, una oportunidad para elevar el estado anímico y entrar a un mundo de fantasía, porque todos y cada uno guardan un alma y tienen un sabor"", añade.Actual maquillista oficial de Maybelline New York para México y Latinoamérica, Vicente estudió en México la carrera de Foto y Dibujo Artístico, dio sus primeros pasos como asistente de fotografía y en 2005 despegó como maquillista profesional.""Me identifiqué con Maybelline por una razón: sus productos son democráticos, llegan a todas las mujeres del mundo, a todos los bolsillos, esferas sociales y a todas las razas"", dice.Hoy, su portafolio de trabajo incluye portadas en múltiples publicaciones, eventos como los Grammys y los Billboard Music Awards, el New York Fashion Week y campañas de marcas internacionales como Pantene y Saks Fifth Avenue.Con una trayectoria que habla por sí sola, este talentoso artista (quien de no haberse dedicado al mundo de la estética habría optado por quizás ser chef) sugiere a las damas dibujarse los labios de rojo.""Este tono hace surgir la sensualidad natural con la que fueron dotadas todas, sin excepción. En cualquiera de sus variantes, da protagonismo, confianza y aporta fuerza a la individualidad"", asegura contundente. ""La mujer que usa un labial rojo es segura de su feminidad, sabe que la belleza es individual y sólo se dedica a subrayarla con un lápiz"" Vicente Montoya,maquillista    ",https://www.reforma.com/libre/online07/aplicacionEI/webview/iWebView.aspx?Coleccion=1066&folio=1879881&TipoTrans=8
296,Refugio de talentos,REFORMA/STAFF,,"Si quieres sumar prendas muy 'trendy' a tu guardarropa o decorar tu hogar con una pieza súper original, acércate a los diversos bazares que hay en la Ciudad de México.Ya sea itinerantes o fijos, son una gran alternativa, pues te permiten conocer y adquirir las más recientes propuestas de creativos nacionales, tanto emergentes como consolidados.  BAZAR MEXICANITAS ¡Esta popular propuesta itinerante está montada precisamente hoy! La sede es La Faena, una cantina ochentera del Centro. Con precios accesibles y diversidad de alternativas, encontrarás desde zapatos de la marca Trama, hasta piezas para decorar de Baruká, bolsos de Baal y aromaterapia de Lisanna.  TRÁFICO BAZAR Moda, arte y música se mezclan en esta opción, cuya próxima edición (a celebrarse el 17 y 18 de junio) será en el Centro Gallego, en la Roma. Aquí la pasarás muy bien, pues bandas tocarán música mientras tú comes y compras. Habrá prendas y accesorios de alrededor de 60 marcas, como Valetta, Gemza Joyas y Bandana.  LA LONJA MERCANTIL Es uno de los mercados itinerantes más reconocidos, nació en 2010 y muestra el trabajo de más de 250 diseñadores y productores. Hay accesorios, moda, mobiliario, artesanías, plantas, libros, música y comida. Si te animas, ¡está hoy y mañana en Sinaloa 195, en la Roma! Hay firmas como Libélula, 1/8 Takamura y Nosso Clo.  CASA FUSIÓN Con 13 años de existencia, es de los mejor posicionados, pues reúne a más de 200 diseñadores, comida gourmet, artes visuales y eventos especiales, todo en una hermosa casa de la Colonia Juárez. Xibú, Valeria Castro, Manuel Sekkel y Cardinal son algunas de las firmas que hallarás en este sitio, ubicado en el número 37 de Londres.    ",https://www.reforma.com/libre/online07/aplicacionEI/webview/iWebView.aspx?Coleccion=1066&folio=1879882&TipoTrans=8
297,Alegra tus pasos,Lupita Aguilar,,"De verlos quieres que te acompañen a casa, pues igual vienen ilustrados con una mascota de raza salchicha, que te hacen sonreír con un divertido ""¡Hello!"".Son los zapatos y zapatillas de Loly in the Sky, firma que te ofrece todo tipo de opciones, desde modelos tipo choclo, hasta pares de aires deportivos, pasando por propuestas muy femeninas y llenas de glamour.Sus diseños, ricos en inspiración, encantan a la vista con su originalidad, pues algunos están cubiertos por coloridos ""chochitos"", otros van sellados con un moño de hélice y algunos más están decorados con figuras como piezas de rompecabezas.Y por supuesto, también los hay altos y sensuales, trabajados con terciopelo negro y rematados con tacones de cuña dorados, a lo que se suman audaces creaciones con 'animal print'.La propuesta es de la creativa Lorena Vázquez, quien realizó estudios de diseño en Milán y Barcelona, y que se inspiró en la canción ""Lucy in the Sky with Diamonds"", de Los Beatles, para nombrar su marca.Lorena echó a andar este proyecto en 2011 y arrancó vendiendo en línea. Tan sólo seis años después, sus propuestas ya están a la venta no sólo en boutiques de la Capital, sino en las departamentales Macy's de EU.El calzado es fabricado con pieles de León, Guanajuato, y el objetivo de su creadora es hacerte feliz a través de su estilo, confort y calidad, ya que los terminados son realizados a mano.    ",https://www.reforma.com/libre/online07/aplicacionEI/webview/iWebView.aspx?Coleccion=1066&folio=1879883&TipoTrans=8
298,Fashion con causa,REFORMA/STAFF,,"Cada vez son más las marcas y diseñadores que toman conciencia sobre la importancia de poner su granito de arena para mejorar el mundo. Y es que muchos creativos consideran que, al ser parte de una industria tan redituable a nivel global, tienen la responsabilidad de aportar algo para hacer la diferencia. Las iniciativas son muy variadas, pero todas tienen en común el interés por lograr un impacto positivo, ya sea en términos ecológicos o sociales.  ESTILO CONSCIENTE Además de que desde hace cuatro años H&amp;M lanzó su campaña de recolección y reciclaje de prendas, la firma tiene su línea h, que apuesta por la sustentabilidad. Para esta primavera 2017, ésta incluye piezas elaboradas con BIONIC, un tipo de poliéster creado a partir de desechos recolectados en las costas. Se suma una fragancia hecha de aceites orgánicos, así como ropa infantil.  APUESTA 'ECO-FRIENDLY' Interesada por el bienestar del planeta, Benetton acaba de lanzar su colección de camisetas ""Natural Appeal"". Además de estar elaboradas con algodón 100 por ciento orgánico (lo cual las vuelve muy suaves), están teñidas con pigmentos extraídos de minerales y piedras, lo que resulta en colores suave y ecológicamente responsable.  TRAZOS QUE AYUDAN Famosa por sus accesorios, Montblanc lanzó una colección de plumas en conjunto con la UNICEF para mejorar las condiciones educativas de más de 5 millones de pequeños alrededor del mundo. Las piezas presentan las primeras letras o caracteres que aprende un niño, en seis diferentes idiomas. La firma donará un 3 por ciento de las ganancias desde este año hasta marzo de 2018.  AMOR POR LA ARTESANÍA El zapatero Christian Louboutin colaboró con mujeres artesanas de Yucatán para su nueva línea de bolsos, titulada ""Mexicaba"". Los diseños son tipo 'tote' e incluyen bellas cuentas de colores pintadas a mano, así como delicados bordados. Por cada artículo vendido, el diseñador donará el 10 por ciento a la Fundación Haciendas del Mundo Maya, dedicada a preservar y apoyar el trabajo de estas artistas.   ",https://www.reforma.com/libre/online07/aplicacionEI/webview/iWebView.aspx?Coleccion=1066&folio=1879884&TipoTrans=8
299,¡Renta tu vestido!,Lupita Aguilar,,"Adquirir un atuendo nuevo para cada celebración es un lujo que, en la actualidad, no todo mundo se puede dar. Sin embargo, esto no significa que tienes que repetir el mismo diseño en todos tus eventos, pues actualmente existen varias boutiques que te rentan sus trajes por una noche.Además de que esta opción es ideal para cuidar tu economía, se trata de una práctica que te permitirá lucir siempre un vestido distinto y en tendencia.Para que te animes a probarlo en esta época de graduaciones, te damos algunas opciones.  CLÓSET DE CAMELIA En esta boutique sólo necesitas seleccionar tu atuendo favorito y apartarlo para la fecha que quieras. Ofrece el mismo servicio con accesorios como tocados, sombreros y pashminas.· Salamanca 105, Roma    CONSPIRACIÓN MODA Es ideal si prefieres hacer todo vía web, pues con tan sólo reservar y pagar en línea, llegará a tu hogar un paquete con dos trajes, pues te incluyen una segunda talla gratis. El retorno por paquetería va por su cuenta.· www.conspiracionmoda.com· Adolfo Domínguez· BCBG    LA PERCHA Cuenta con más de 100 vestidos de diferentes estilos y marcas, incluyendo diseñadores reconocidos. Haz una cita en laperchamexico@gmail.com para acudir a su showroom.· Lava 20, Pedregal    1 NIGHT STAND Si quieres lucir una creación de Vera Wang, Adolfo Domínguez o BCBG, ésta es la opción. Checa sus propuestas en su catálogo en línea (1ns.com.mx), el cual te permite filtrar las prendas según el tipo de evento.· Coahuila 188, Roma· Esta alternativa te ayudará a lucir bella sin gastar de más.    ",https://www.reforma.com/libre/online07/aplicacionEI/webview/iWebView.aspx?Coleccion=1066&folio=1879885&TipoTrans=8
300,Brillo único,,,"El art déco, estilo popular en los años 20, inspiró la nueva colección de H.Stern, en la que destacan los diamantes. La línea está compuesta principalmente por anillos, los cuales fueron diseñados individualmente y trabajados a mano, por lo que sólo hay una pieza de cada modelo.         ",https://www.reforma.com/libre/online07/aplicacionEI/webview/iWebView.aspx?Coleccion=1066&folio=1879886&TipoTrans=8
301,Un verano al estilo 'boho',Brenda Díaz Alva,,"Un estilo relajado y a la vez muy chic es lo que te propone la diseñadora estadounidense Tory Burch, qui para esta temporada tomó inspiración de las costas Este y Oeste de su país.Así, los aires bohemios embellecen con soltura diversas prendas, entre las que destacan blusas, kaftanes, vestidos y túnicas de colores vibrantes, motivos étnicos y patrones geométricos, trabajadas en materiales ligeros para mantenerte fresca durante todo el día.A la colección se suman bellas faldas floreadas para pasear bajo el sol, y si ya estás pensando en tus próximas vacaciones, también hay trajes de baño estampados y sandalias tipo gladiador.Los accesorios apuestan por el eclecticismo, por lo que encontrarás desde delicados collares inspirados en el océano, hasta llamativos brazaletes que mezclan materiales como tela y metal.Sorprende la diversidad de bolsos, pues hay modelos estilo 'clutch', 'satchel', 'tote' y cruzados, todos en variedad de tamaños. Ya sea en tonalidades sólidas como rosa, naranja y azul, o con detalles muy 'boho', como flecos y bordados, serán la alternativa ideal para complementar tu look de verano.   ",https://www.reforma.com/libre/online07/aplicacionEI/webview/iWebView.aspx?Coleccion=1066&folio=1879887&TipoTrans=8
302,Relájatech en casa,Aleyda Angel,,"El estrés puede ser causado por factores laborales, familiares, escolares y hasta sociales. Para combatirlo sin tener que salir del hogar, opta por dispositivos para consentirte y relajarte como en un spa.  ARMA TU JACUZZI Si cuentas con tina en casa, no lo pienses más y conviértela en un jacuzzi con el Dual Jet Bath Spa de Conair que al ser colocado en la orilla de la bañera, brinda flujos de agua caliente y explosiones de burbujas.$947 en bedbathandbeyond.com   MASAJE PORTÁTIL Con la almohada Soft Spa Massage Bath Pillow de Petrika podrás tomar baños en la tina con un masaje relajante.Es a prueba de agua e incluye un control para personalizar el modo y la intensidad del movimiento.$997 en bedbathandbeyond.com   INHALA PAZ A diferencia de otros difusores, el E-difusser Inteligente, de Bluet, es inteligente, pues, desde la app móvil, el usuario puede programar el encendido o apagado, intermitencia y color de sus siete luces LED, así como controlar la intensidad del mismo.$1,380 en mercadolibre.com   RELAX A DOMICILIO Con Hauspa, la app especializada en masajes bajo demanda, puedes escoger entre tres tipos de sesiones: individual, en pareja o un día de spa para compartir con amigos. Atienden en las Lomas, Polanco, La Roma, Condesa y Cuauhtémoc.Gratis   DUERME MEJOR Si sufres de insomnio, duermes poco o mal, el 2breathe Plus Sleep Inducer es para ti. Promete mejorar tus hábitos de sueño en sólo 60 días a través de una banda que se coloca alrededor de tus costillas, una app y un entrenador personal que analiza la información recabada para, posteriormente, recomendar ejercicios personalizados de respiración que reducen el estrés.Dls. 230 en amazon.com   GUAP@ SIEMPRE En Central Glam encontrarás todo lo necesario para consentirte a domicilio en cualquier parte de la Ciudad de México y área metropolitana. Brindan servicios de masajes, faciales, cortes de cabello, manicure, pedicure y depilaciones.Gratis   ESCUCHA LA NATURALEZA Con la máquina de sonido Wave Sleep Terapia conseguirás seis sonidos naturales (ruido blanco, océano, lluvia, noche de verano, arroyo y corriente de aire) con un diseño elegante para complementar tu sesión de spa en casa; además, mientras te relajas, puedes conectarle tu celular para recargar la batería.Dls. 40 en amazon.com    ",https://www.reforma.com/libre/online07/aplicacionEI/webview/iWebView.aspx?Coleccion=1066&folio=1879888&TipoTrans=8
303,Euforia felina,Fernando Toledo,Descubre por qué el estampado de leopardo es un clásico que sigue encantado a chicas de todo el planeta,"Se asocia con las mujeres fuertes y seguras, como Elizabeth Taylor, quien lo lució en grandes abrigos cuando estaba en la cima de su carrera, o Anne Bancroft en la película ""El Graduado"".Pero no hay que olvidar que hasta la tímida Audrey Hepburn lo usó en la cinta ""Charade"", así que es un hecho: el estampado de leopardo atrae a chicas de todo tipo de personalidad.Hoy, este motivo -sobre todo en materiales sintéticos-, sigue muy vigente, por lo que forma parte del guardarropa de figuras como Alexa Chung, quien atrajo todos los reflectores con su abrigo ""Shrimps"", y Beyoncé, quien lo ha portado en sus videos.También hay que anotar en esta lista a las hermanas Gigi y Bella Hadid, así como a la popular cantante Taylor Swift.""Es versátil, femenino, divertido y agrega siempre un toque de poder. De hecho, en África la piel de leopardo siempre estuvo asociada al status de los jefes de los clanes"", afirma el experto Antonio González de Cosío.Fueron grandes diseñadores los que impulsaron este tipo de 'animal print' en la moda. Entre ellos destaca la talentosa Jeanne Paquin, quien realizara abrigos en los años 20, así como Christian Dior, que en 1947 lanzó sus vestidos ""Jungle"" y ""Africa"".""Es un elemento que se ha utilizado siempre por damas con carácter, y en décadas recientes lo retomaron firmas como Roberto Cavalli, Dolce &amp; Gabbana y Versace"", comenta la especialista en imagen Mónica Bravo.Tal es su alcance, que es incluido en ""From Mobutu to Beyoncé"", expo del Bronx Documentary Center de NY y en la que el fotógrafo Émilie Regnier hace un recorrido por los símbolos de poder en el mundo.No es de extrañar entonces que, durante su paso por Dior, Raf Simons lo llevara a niveles abstractos, al plasmarlo en prendas que parecen amibas. Y hoy se observa en piezas de firmas como Acne, al igual que de marcas 'fast fashion' como H&amp;M.Y aunque solía afirmarse que este estampado nunca se debía mezclar con otros similares, esta regla ha sido desafiada por estrellas e 'it girls'.Ahora que, si no te quieres arriesgar tanto, puedes apostar por incluir este toque felino en los accesorios.   ",https://www.reforma.com/libre/online07/aplicacionEI/webview/iWebView.aspx?Coleccion=1066&folio=1879889&TipoTrans=8
304,El mix ideal,,,"Si no sabes con qué combinar alguna de tus prendas, la app ""Chicisimo"" ha llegado para solucionarte la vida, pues te mostrará una gran variedad de outfits con una pieza muy similar a la tuya.Vestidos, jeans, blusas, collares, bolsos y hasta zapatos serán seleccionados, para que observes cómo los portan otras usuarias y así te inspires para crear tu propio estilo.Podrás guardar tus looks favoritos y categorizarlos por tendencias o marca. Y si algo te encanta, te dirá dónde comprarlo.Costo: GratisDisponible para: Android   ",https://www.reforma.com/libre/online07/aplicacionEI/webview/iWebView.aspx?Coleccion=1066&folio=1879890&TipoTrans=8
305,Desde su apertura en 2008,,,"Desde su apertura en 2008, la App Store de Apple ha pagado 70 mil millones de dólares a desarrolladores.    ",https://www.reforma.com/libre/online07/aplicacionEI/webview/iWebView.aspx?Coleccion=1066&folio=1879891&TipoTrans=8
306,Homenaje a Oriente,Fernando Toledo,,"El continente asiático está de moda, como lo demuestran las múltiples marcas y diseñadores que, en las últimas temporadas, han lanzado opciones inspiradas en la vestimenta tradicional de esta parte del mundo.Entre las piezas estrella de esta tendencia está el kimono, el cual se ha convertido en una gran alternativa para llevar en lugar de un saco o de un abrigo ligero en esta época de calor.""Es práctico, divertido y versátil, además de que se puede llevar casi sobre cualquier tipo de prenda, incluso las deportivas, pues funciona también para el estilo athleisure"", asegura la experta en imagen Mónica Bravo.Así, hoy se usan tanto cortos como largos, preferentemente en seda fina, aunque se han visto también diseños en terciopelo y hasta en combinaciones con sintéticos como lycra.'It girls' y modelos como Gigi Hadid y Kendall Jenner suelen lucirlos con sus jeans o shorts favoritos, con tacones altos y con una sencilla 't-shirt', aunque también en grandes eventos de moda, donde dominan los creados por firmas como Dolce &amp; Gabbana, Cavalli y Etro.""Son regios, elegantes y, como están generalmente trabajados con flores, bordados y tienen una gran caída, se ven muy femeninos"", añade Mónica.Para el día, lo mejor es tener uno en blanco o bien en tonalidades de la gama pastel, mientras que una versión en negro te puede servir muy bien como una salida para los mejores cocteles y fiestas del verano.Muchos de ellos se adornan con flecos, lo que les agrega un toque bohemio y setentero, que también está muy en boga.""Hay que tomar en cuenta que, entre más decorado o estampado esté el kimono, la ropa que lo acompaña debe ser más discreta, pues siempre es importante lograr equilibrio visual"", comenta Mónica.    ",https://www.reforma.com/libre/online07/aplicacionEI/webview/iWebView.aspx?Coleccion=1066&folio=1879892&TipoTrans=8
