,Titulo,Autor,Referencia,Texto,link
10,Detectan en Edomex venta de sentencias,Viridiana Martínez,,"TOLUCA.- Dos redes de corrupción al interior del Tribunal Superior de Justicia del Estado de México (TSJEM) fueron descubiertas por el Poder Judicial mexiquense.En un comunicado, informó que se detectó la venta de sentencias y notificaciones condicionadas, delitos por los cuales ya hay un detenido.Expuso que en colaboración con la Fiscalía mexiquense se descubrieron los actos ilícitos que han permitido el desmantelamiento de las redes y persecución legal de los sucesos.El Poder Judicial mexiquense indicó que, en el primer caso, fue detenido y vinculado a proceso por su probable participación en el delito de extorsión, José ""N"", quien fungía como servidor público en un juzgado de control, pero fue destituido por pérdida de confianza en 2017.Presuntamente, detalló, establecía comunicación con los litigantes para obtener sentencias favorables a cambio de 50 mil pesos.Para conseguirlo, informó, era apoyado desde el interior del Tribunal por una funcionaria judicial, quien cuenta con una orden de aprehensión.""El otro caso es sobre una notificadora que realizaba diligencias selectivas, según el pago de litigantes. El Ministerio Público amparado por la resolución de un juez federal logró la extracción de información telefónica del móvil de Verónica ""N"", que dirigía una red en los juzgados de Coacalco"", añadió la institución en el comunicado.En estos actos podrían estar involucrados otros servidores públicos, abogados y usuarios por lo que también se investigará su posible participación.El presidente del TSJEM, Ricardo Sodi Cuellar, aseguró que las investigaciones se llevarán a cabo hasta sus últimas consecuencias, ya que no permitirá actos de corrupción ni de servidores públicos ni de litigantes.El Magistrado exhortó a colaboradores judiciales y litigantes a denunciar aquellos actos contrarios a las leyes, a la ética y la transparencia.  ",https://www.reforma.com/libre/online07/aplicacionEI/webview/iWebView.aspx?Coleccion=1066&folio=2189914&TipoTrans=8
11,Celebran triunfo de Arce,Isabella González,,"El Gobierno de México, que hace un año refugió al exPresidente Evo Morales y ha mantenido desde entonces una tensa relación con la mandataria interina Jeanine Áñez, celebró la victoria de Luis Arce en las elecciones de Bolivia y la calificó de ""lección"" en defensa de la autodeterminación.""Celebramos que un grave conflicto se resolvió por la vía pacífica y democrática. Saludo (a) organizaciones sociales, pueblos originarios, a Evo, al MAS y al pueblo boliviano"", escribió en Twitter el Presidente Andrés Manuel López Obrador luego de comunicarse con Arce .""Expresamos nuestro agradecimiento al pueblo mexicano por su solidaridad en los momentos más difíciles que nos tocó vivir"", respondió el abanderado del Movimiento al Socialismo.   ",https://www.reforma.com/libre/online07/aplicacionEI/webview/iWebView.aspx?Coleccion=1066&folio=2189915&TipoTrans=8
12,Pesca ilegal,,,La Comisión Nacional de Acuacultura y Pesca (Conapesca) reportó que durante septiembre fueron asegurados 112 mil 124 kilos de producto pesquero de procedencia ilegal. También fueron decomisadas 620 artes de pesca.         ,https://www.reforma.com/libre/online07/aplicacionEI/webview/iWebView.aspx?Coleccion=1066&folio=2189916&TipoTrans=8
13,Advierte EU retraso en mejora de fiscalías,Víctor Fuentes,,"Estados Unidos busca contratar asesores para las fiscalías de los 32 estados, que no logran aterrizar protocolos y métodos para operar efectivamente el Nuevo Sistema de Justicia Penal (NSJP).El Departamento de Estado publicó el 15 de octubre una solicitud de información a especialistas interesados para ayudar a las fiscalías locales, que siguen padeciendo carencias operativas no obstante que el NSJP entró plenamente en vigor en todo el país en 2016, y hubo un periodo de ocho años de preparación a partir de la reforma constitucional respectiva.""El sistema penal acusatorio mexicano todavía no tiene un compendio de políticas, regulaciones, procedimientos y lineamientos para atender múltiples temas relacionados con la actuación eficiente de las fiscalías"", explica la solicitud de información, generada por el Buró de Asuntos Internacionales de Narcóticos (INL por sus siglas en inglés).Una de las tareas del equipo de asesores será la de implementar un sistema de evaluación de rendimiento para los agentes del Ministerio Público (MP) de las 32 fiscalías, que tenga incentivos ""claros y predecibles"" alineados con dicho sistema.""Otra de las metas del proyecto es incrementar los índices de persecución de crímenes de alto impacto, mediante la mejora de prácticas gerenciales en las fiscalías estatales, en regiones remotas y austeras a lo largo del país"", se indica en el documento.La solicitud de información permitirá conocer si hay consultoras o despachos de abogados interesados en el proyecto, para eventualmente convocar a una licitación y adjudicar un contrato por entre uno y cinco años.El INL maneja recursos de la Iniciativa Mérida, un fondo creado en 2008 para apoyar con 2 mil 300 millones de dólares la lucha contra el crimen organizado en México, del que han salido alrededor de 250 millones de dólares para la transición al NSJP.   Asesoría El Departamento de Estado de EU prevé contratar especialistas para apoyar en la implementación del Nuevo Sistema Penal de Justicia en México en materia de: - Política estandarizada de persecución de delitos.- Lineamientos para resolución alternativa de controversias.- Incentivos para que los fiscales favorezcan herramientas como juicios abreviados y suspensión condicional del proceso.- Mecanismos formales de comunicación y coordinación entre Ministerio Público y Policía Investigadora.- Uso apropiado de evidencia forense.  ",https://www.reforma.com/libre/online07/aplicacionEI/webview/iWebView.aspx?Coleccion=1066&folio=2189917&TipoTrans=8
14,Atienden vacunación,,,En la cancha techada del parque 7 de Agosto inició ayer en Campeche la aplicación de la vacuna contra la influenza a la población vulnerable.La Secretaría de Salud estatal informó el pasado fin de semana que dispone de 235 mil dosis del biológico.   ,https://www.reforma.com/libre/online07/aplicacionEI/webview/iWebView.aspx?Coleccion=1066&folio=2189918&TipoTrans=8
15,211 millones de metros...,,,211 millones de metros cúbicos de agua del río Bravo resta entregar a EU antes del domingo.        ,https://www.reforma.com/libre/online07/aplicacionEI/webview/iWebView.aspx?Coleccion=1066&folio=2189919&TipoTrans=8
16,Inicio de temporada,,,"Reporte de las Unidades Monitoras de Enfermedad Respiratoria Viral de la semana epidemiológica 40 a la 42: 57,782 casos sospechosos de enfermedad tipo influenza (ETI) e infección respiratoria aguda grave (IRAG)  1 caso confirmado de influenza (A H1N1)   ENTIDADES CON MÁS CASOS SOSPECHOSOS DE ETI/IRAG Ciudad de México 7,678Nuevo León 6,751Estado de México 3,744Sonora 3,253Yucatán3,050Jalisco 2,152      ",https://www.reforma.com/libre/online07/aplicacionEI/webview/iWebView.aspx?Coleccion=1066&folio=2190036&TipoTrans=8
17,Pega inseguridad a 1 de 5 familias,Rolando Herrera,"Cae percepción de delincuencia urbana en pandemia. Siente temor a delito 92.8% en Ecatepec; San Pedro Garza, la mejor evaluada","La Encuesta Nacional de Seguridad Pública Urbana (ENSU) reportó que el 21.8 por ciento de los hogares en el país tiene al menos una víctima de robo o extorsión cometido durante el primer semestre de este año.Al dar a conocer los resultados de la encuesta, el Inegi informó ayer que las ciudades que reportaron el mayor porcentaje con al menos una víctima son Iztacalco, Cuautitlán Izcalli, Iztapalapa, Aguascalientes y la Magdalena Contreras con 34.4, 34, 33.2, 33 y 32.7 por ciento, respectivamente.La encuesta, que se realiza trimestralmente desde 2013 y que para septiembre contempló 85 urbes -incluidas las 16 Alcaldías de la Ciudad de México-, indica que el 67.8 por ciento de la población mayor de 18 años se siente insegura en su ciudad.Esto es 5.6 puntos porcentuales menos que en marzo, mes en el que inició una baja en la movilidad debido a la emergencia sanitaria por Covid-19.Por sexo, la percepción de inseguridad es mayor entre mujeres, con 72.7 por ciento. En los hombres se ubicó en 62 por ciento.Las ciudades con mayor porcentaje de percepción de inseguridad son Ecatepec (92.8), Fresnillo (91.8), Coatzacoalcos (91.1), Villahermosa (90.4), Toluca (88.9) y Naucalpan (88).En contraste, las ciudades donde la percepción de inseguridad es menor son San Pedro Garza García, La Paz, Mérida, Los Cabos, Cuajimalpa y Saltillo, con 16.6, 21.8, 22.5, 26.9, 29.1 y 30.1 por ciento, respectivamente.Los lugares donde los ciudadanos encuestados dijeron sentirse más inseguros son en los cajeros automáticos localizados en la vía pública (78.1 por ciento); al viajar en el transporte público (72.8 por ciento); en las sucursales bancarias (65.8 por ciento) y en las calles por las que regularmente transitan (60.3 por ciento).La percepción de inseguridad provocó que, durante el tercer trimestre de este año, el 61.8 por ciento de los encuestados evitara llevar consigo cosas de valor como joyas, dinero o tarjetas de crédito por temor a sufrir algún delito.Otro 51.9 por ciento de los encuestados dijo haber cambiado hábitos respecto a caminar por los alrededores de su vivienda pasadas las ocho de la noche; y el 50.4 por ciento señaló que ya no permite que sus hijos menores salgan del hogar.En cuanto a víctimas de corrupción por parte de elementos de seguridad pública, de enero a septiembre de este año, el Inegi estima que el 13 por ciento de la población tuvo contacto con algún elemento, del cual, el 45.6 por ciento declaró haber sufrido un acto de corrupción por parte de éstos.Respecto de la expectativa de que las cosas mejoren en el próximo año, el 33.2 por ciento cree que prevalecerán las condiciones actuales de inseguridad en su ciudad y 33.4 por ciento consideró que empeorará.   Confianza Según la Encuesta Nacional de Seguridad Pública Urbana (ENSU) del Inegi, correspondiente a septiembre de 2020*:  Caída El porcentaje de percepción social sobre inseguridad pública a nivel nacional de septiembre es el más bajo en los últimos cinco años. 2015Jun 69Sep68Dic 67.72016Mar 69.9Jun70Sep71.9Dic 74.12017Mar 72.9Jun74.9Sep 76Dic 75.92018Mar 76.8Jun 75.9Sep 74.9Dic 73.72019Mar 74.6Jun 73.9Sep71.3Dic 72.92020Mar73.4Sep 67.8    Miedo Sitios donde lo mexicanos manifestaron sentirse más inseguros:  Sitios%Cajero automático78.1Transporte público72.8Banco65.8Calle habitual60.3Mercado53.1Carretera53.1Parques52.4   Contrastes Ciudades con mayor y menor porcentaje de personas de 18 años y más que consideraron que vivir en su demarcación es inseguro:  Mayor porcentajeFresnillo 91.8%Coatzacoalcos 91.1%Villahermosa 90.4%Ecatepec 92.8%Naucalpan88%Toluca 88.9%   Menor San Pedro Garza16.6%La Paz21.8Mérida22.5Los Cabos26.9Cuajimalpa30.1   Respaldo Porcentaje de percepción del desempeño de las autoridades de seguridad pública: (Muy o algo efectivo)  MarSepMarina86.285.9Ejército83.483.6GN69.173.1Policía Estatal48.552.1Policía Municipal39.943.7 * Encuesta realizada a 25 mil 500 viviendas de 85 ciudades del país (incluyendo las 16 Alcaldías de la Ciudad de México).      Contrastes Ciudades con mayor y menor porcentaje de personas de 18 años y más que consideraron que vivir en su demarcación es inseguro:  Mayor porcentajeFresnillo 91.8%Coatzacoalcos 91.1%Villahermosa 90.4%Ecatepec 92.8%Naucalpan88%Toluca 88.9%   Menor San Pedro Garza16.6%La Paz21.8Mérida22.5Los Cabos26.9Cuajimalpa30.1   Respaldo Porcentaje de percepción del desempeño de las autoridades de seguridad pública: (Muy o algo efectivo)  MarSepMarina86.285.9Ejército83.483.6GN69.173.1Policía Estatal48.552.1Policía Municipal39.943.7 * Encuesta realizada a 25 mil 500 viviendas de 85 ciudades del país (incluyendo las 16 Alcaldías de la Ciudad de México).   ",https://www.reforma.com/libre/online07/aplicacionEI/webview/iWebView.aspx?Coleccion=1066&folio=2189922&TipoTrans=8
18,Reporta Inegi violencia familiar durante encierro,Rolando Herrera,,"En el 9 por ciento de los hogares en áreas urbanas del país se registró al menos una víctima de violencia en el entorno familiar entre enero y septiembre de este año.Así lo relevó el Inegi, que por primera vez decidió medir este tipo de violencia en la Encuesta Nacional de Seguridad Pública Urbana (ENSU) y lo hizo en este periodo que ha estado marcado por la emergencia sanitaria provocada por el Covid-19.""Se estima que 9 por ciento de los hogares experimentó alguna situación de violencia de tal naturaleza entre enero y septiembre de 2020. Respecto a la población de 18 años y más, en ese mismo periodo, el 7.8 por ciento fue violentada en el ámbito del hogar. En el caso de las mujeres este porcentaje fue de 9.2 por ciento, mientras que en hombres fue de 6.1 por ciento"", detalló el Inegi.Los tipos de violencia preguntados fueron: humillaciones o insultos, amenazas para dejar el hogar, agresiones (golpes y ataques con alguna arma blanca y de fuego) y abuso sexual.""Se estima que 5.4 por ciento de las personas de 18 años y más en zonas urbanas fue violentado por ofensas o humillaciones por parte de algún miembro de su hogar. En mujeres este porcentaje fue de 6.6 por ciento, mientras que en hombres de 4 por ciento"", ejemplificó.En el periodo reportado, la mayor ocurrencia de violencia en el entorno familiar se dio en agosto y junio, con 2 por ciento, mientras que en julio fue de 1.9 por ciento.""De la población de 18 años y más que sufrió violencia en el entorno familiar, el/la principal agresor (a), miembro del hogar, fueron las personas sin parentesco especificado con un 43.9 por ciento, seguido del esposo (a) o pareja sentimental con un 22.9 por ciento"", detalló.  ",https://www.reforma.com/libre/online07/aplicacionEI/webview/iWebView.aspx?Coleccion=1066&folio=2189924&TipoTrans=8
19,Tu Opinión Reforma,"Mónica Mendoza Barrios, Tito Javier Ayala, Lorea Alverde y Leticia Fontanals Subervielle",,"CÁTEDRA Qué cátedra de política y estadismo le dio Cuauhtémoc Cárdenas Solórzano a Andrés Manuel López con su discurso por el aniversario luctuoso de su padre, el General Lázaro Cárdenas.Dudo que el Presidente, soberbio como es, y poco entendido de razones, haya asimilado que la pauta para un verdadero jefe de Estado está en escuchar las críticas y aprender de ellas para corregir el rumbo y, como se lo mencionó, tener ""clara conciencia de las capacidades y limitaciones"".Mónica Mendoza Barrios / Cuauhtémoc   Anillo al dedo La oprobiosa detención del General Cienfuegos en Estados Unidos debería ser otro anillo al dedo de la 4T, pues al tiempo que enriquece la argumentación contra el pasado neoliberal, adversario y fifí, justifica una auditoría al Ejército y la Armada, buscar respuesta al aumento desmesurado de la criminalidad y reconsiderar si el dedicar a los integrantes de la Secretaría de la Defensa a la construcción de aeropuertos, sucursales bancarias y otras funciones tan lejanas de la protección de la ciudadanía es lo apropiado.Tito Javier Ayala / Aguascalientes, Ags.   Ninguna medida Después de haber pasado unas increíbles semanas en Acapulco, el regreso en la carretera no fue igual de placentero. La caseta de Tequesquitengo estaba tomada, igual que de ida.¿Cómo es posible que esto lleve sucediendo ya varios años y no se haya tomado ningún tipo de medida, como mandar a la Guardia Nacional a restituir la seguridad de los ciudadanos?Luego no nos preguntemos por qué el País carece de turismo.Lorea Alverde / CDMX   ¿Qué necesidad?  ¿Cuál es la necesidad de reinventar el hilo negro?Casi cada producto que se consume hoy en día tiene ya las especificaciones de lo que contiene y está muy bien detallado por porción individual o porciones que contiene.Y ahora, con la nueva norma, los letreritos no nos indican las especificaciones detalladas, ni si lo que dicen es por comerse todo el paquete o una parte.Esto produce confusión al no tener la certeza de lo que están exponiendo e inhibe por miedo su compra y por tanto no cumple función alguna.Leticia Fontanals Subervielle / Álvaro Oregón, CDMX  cartas@reforma.com    ",https://www.reforma.com/libre/online07/aplicacionEI/webview/iWebView.aspx?Coleccion=1066&folio=2189925&TipoTrans=8
20,Comentarios a REFORMA.COM,,,"REVIVE PRI: ASESTA GOLPE A MORENA Make Mexico Fifi Again.EL PUEBLO OPINA   ELECCIONES, SERIO REVÉS A MORENA.- MUÑOZ LEDO AMLO y Morena: debut y despedida.CIUDADANO CDMX   PEDIRÁN A EU CONOCER DETALLES DE CIENFUEGOS Ni les avisaron de la investigación previa, menos les van a compartir el resto.TRABAJO EN EQUIPO   CON DENUNCIA A LORET PÍO ME PERJUDICA.- AMLO Pues ya Frena-lo, ¿no?HASTA EL KEKE   REMODELAN ESTADIO PARA EQUIPO DE PÍO No son iguales, son PIOres.FUERA LOS INEPTOS?   ATROPELLAN Y MUERE A UNO QUE TOMÓ CASETA La justicia por encima de la Ley, dice AMLO.SOFÍA   ",https://www.reforma.com/libre/online07/aplicacionEI/webview/iWebView.aspx?Coleccion=1066&folio=2189926&TipoTrans=8
21,Hoy en la historia,,Hemeroteca Grupo REFORMA,"20 de octubre 1975 En el peor accidente del Metro, alrededor de las 9:30 de la mañana dos trenes de la Línea 2 chocan en la estación Viaducto, dejando 31 muertos y más de 70 heridos. El primer vagón de un convoy se incrustó hasta la mitad en el último carro de otro que esperaba su salida. 2011 Tras 57 días de fuga y ocho meses de guerra en Libia, el derrocado líder Muammar Gaddafi fue capturado y liquidado por rebeldes. Gaddafi llegó al poder por un golpe militar en 1969.   ",https://www.reforma.com/libre/online07/aplicacionEI/webview/iWebView.aspx?Coleccion=1066&folio=2189927&TipoTrans=8
